#uname,sym,seq,y,m,d,rev,inc
smcd,pha2,1,2022,9,1,,
,,2,,,2,,
,,3,,,3,,
,,4,,,4,,
,,5,,,5,,
,,6,,,6,,
,,7,,,7,,
,,8,,,8,,
,,9,,,9,,
,,10,,,10,,
,,11,,,11,,
#uname,,,,,,,
osweemey,pha1,1,2022,9,1,,
,,2,,,2,,
,,3,,,3,,
,,4,,,4,,
,,5,,,5,,
,,6,,,6,,
,,7,,,7,,
,,8,,,8,,
,,9,,,9,,
,,10,,,10,,
#uname,,,,,,,
darch,pch,1,2022,9,1,,
,,2,,,2,,
,,3,,,3,,
,,4,,,4,,
,,5,,,5,,
,,6,,,6,,
,,7,,,7,,
,,8,,,8,,
,,9,,,9,,
,,10,,,10,,
#uname,,,,,,,
smorin,pha1,6,2022,9,1,,
,,7,,,2,,
,,8,,,3,,
,phg,8,,,4,,
,,10,,,5,,
,pha2,1,,,6,,
,,2,,,7,,
,,3,,,8,,
,,4,,,9,,
,,5,,,10,,
,,6,,,11,,
,,7,,,12,,
#uname,,,,,,,
sriff,ms7,2,2022,9,1,x,
,,4,,,2,x,
,,7,,,3,x,
,ms8,1,,,4,,
,,2,,,5,,
,,3,,,6,,
,,4,,,7,,
,,5,,,8,,
,,6,,,9,,
,,7,,,10,,
,,8,,,11,,
#,,,,,,,
mario,phgh,3,2022,9,1,x,
,,8,,,2,x,
,,11,,,3,,
,,12,,,4,,
,pha2,1,,,5,,
,,2,,,6,,
,,3,,,7,,
,,4,,,8,,
,,5,,,9,,
,,6,,,10,,
,,7,,,11,,
,,8,,,12,,
#,,,,,,,
rcham,1b,15,2022,9,1,x,
,phg,1,,,2,,
,,2,,,3,,
,,3,,,4,,
,,4,,,5,,
,,5,,,6,,
,,6,,,7,,
,,7,,,8,,
,,8,,,9,,
,,9,,,10,,
,,10,,,11,,
#,,,,,,,
nog,a2h,12,2022,9,1,,x
,,13,,,2,,x
,,14,,,3,,x
,,15,,,4,,x
,pch,1,,,5,,
,,2,,,6,,
,,3,,,7,,
,,4,,,8,,
,,5,,,9,,
,,6,,,10,,
,,7,,,11,,
,,8,,,12,,
,,9,,,13,,
,,10,,,14,,
#,,,,,,,
smehrik,phg,8,2022,9,1,rev,
,,9,,,2,rev,
,,10,,,3,rev,
,pha2,1,,,4,,
,,2,,,5,,
,,3,,,6,,
,,4,,,7,,
,,5,,,8,,
,,6,,,9,,
,,7,,,10,,
,,8,,,11,,
,,9,,,12,,
,,10,,,13,,
#,,,,,,,
bobdug,hmc3,11,2022,9,1,,x
,pha1,1,,,2,,
,,2,,,3,,
,,3,,,4,,
,,4,,,5,,
,,5,,,6,,
,,6,,,7,,
,,7,,,8,,
,,8,,,9,,
,,9,,,10,,
,,10,,,11,,
#,,,,,,,
truk,pha2,1,2022,9,1,,
,,2,,,2,,
,,3,,,3,,
,,4,,,4,,
,,5,,,5,,
,,6,,,6,,
,,7,,,7,,
,,8,,,8,,
,,9,,,9,,
,,10,,,10,,
,,11,,,11,,
#,,,,,,,
tbone,pha2,6,2022,9,1,rev,
,,8,,,2,,inc
,,9,,,3,,inc
,,10,,,4,,inc
,s,1,,,5,,
,,2,,,6,,
,,3,,,7,,
,,4,,,8,,
,,5,,,9,,
#,,,,,,,
wdust,pha1,4,2022,9,1,,
,,5,,,2,,
,,6,,,3,,
,,7,,,4,,
